	Label	Key	From	To	Last Updated	Frequency	Country	Item	Country.1	Data type	Balance sheet suffix	Long description
25	Securitisation positions	SUP.Q.B01.W0._Z.E1300._T._Z._Z.ALL.LE.E.C	2019Q1	2022Q3	2023-01-11 10:00:00	Q	B01	E1300	ALL	LE	E	 Slovenia, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Retail, All exposures, Closing balance sheet/Positions/Stocks, Euro
26	Exposures to credit risk - Standardised approach (SA)	SUP.Q.B01.W0._Z.E2000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	B01	E2000	ALL	LE	E	 Slovakia, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Retail, All exposures, Closing balance sheet/Positions/Stocks, Euro
27	Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Institutions	SUP.Q.B01.W0._Z.E2130._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	B01	E2130	ALL	LE	E	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Institutions, All exposures, Closing balance sheet/Positions/Stocks, Euro
28	Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Corporates	SUP.Q.B01.W0._Z.E2135._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	B01	E2135	ALL	LE	E	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Corporates, All exposures, Closing balance sheet/Positions/Stocks, Euro
29	Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Retail	SUP.Q.B01.W0._Z.E2140._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	B01	E2140	ALL	LE	E	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Retail, All exposures, Closing balance sheet/Positions/Stocks, Euro
30	Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Secured by mortgages on immovable property	SUP.Q.B01.W0._Z.E2145._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	B01	E2145	ALL	LE	E	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Secured by mortgages on immovable property, All exposures, Closing balance sheet/Positions/Stocks, Euro
31	Exposures to credit risk - Internal ratings based Approach (IRB)	SUP.Q.B01.W0._Z.E3000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	B01	E3000	ALL	LE	E	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), World (all entities, including reference area, including IO), Exposures to credit risk - Internal ratings based Approach (IRB), All exposures, Closing balance sheet/Positions/Stocks, Euro
32	Exposures to credit risk - IRB approach - corporates (SME, specialised lending and other)	SUP.Q.B01.W0._Z.E324C._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	B01	E324C	ALL	LE	E	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), World (all entities, including reference area, including IO), Exposures to credit risk - IRB approach - corporates (SME, specialised lending and other), All exposures, Closing balance sheet/Positions/Stocks, Euro
33	Exposures to credit risk - IRB approach - retail (secured by real estate property SME and non-SME)	SUP.Q.B01.W0._Z.E324E._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	B01	E324E	ALL	LE	E	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), World (all entities, including reference area, including IO), Exposures to credit risk - IRB approach - retail (secured by real estate property SME and non-SME), All exposures, Closing balance sheet/Positions/Stocks, Euro
34	Exposures to credit risk - IRB approach - institutions	SUP.Q.B01.W0._Z.E324I._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	B01	E324I	ALL	LE	E	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), World (all entities, including reference area, including IO), Exposures to credit risk - IRB approach - institutions, All exposures, Closing balance sheet/Positions/Stocks, Euro
35	Exposures to credit risk - IRB approach - retail (qualifying revolving, other SME and other non-SME)	SUP.Q.B01.W0._Z.E324Q._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	B01	E324Q	ALL	LE	E	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), World (all entities, including reference area, including IO), Exposures to credit risk - IRB approach - retail (qualifying revolving, other SME and other non-SME), All exposures, Closing balance sheet/Positions/Stocks, Euro
36	TOTAL RISK EXPOSURE AMOUNT FOR SETTLEMENT/DELIVERY	SUP.Q.B01.W0._Z.E4000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	B01	E4000	ALL	LE	E	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), World (all entities, including reference area, including IO), TOTAL RISK EXPOSURE AMOUNT FOR SETTLEMENT/DELIVERY, All exposures, Closing balance sheet/Positions/Stocks, Euro
37	TOTAL RISK EXPOSURE AMOUNT FOR POSITION, FOREIGN EXCHANGE AND COMMODITIES RISKS	SUP.Q.B01.W0._Z.E5000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	B01	E5000	ALL	LE	E	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), World (all entities, including reference area, including IO), TOTAL RISK EXPOSURE AMOUNT FOR POSITION, FOREIGN EXCHANGE AND COMMODITIES RISKS, All exposures, Closing balance sheet/Positions/Stocks, Euro
38	Number of institutions - Core equity tier 1 ratio (%) <= 10	SUP.Q.B01._Z._Z.D5130._T._Z._Z._Z._Z.Z.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	B01	D5130	_Z	_Z	Z	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Number of institutions - Core equity tier 1 ratio (%) <= 10
39	Number of institutions - Core equity tier 1 ratio (%) between 10 - 20	SUP.Q.B01._Z._Z.D5170._T._Z._Z._Z._Z.Z.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	B01	D5170	_Z	_Z	Z	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Number of institutions - Core equity tier 1 ratio (%) between 10 - 20
40	Number of institutions - Core equity tier 1 ratio (%) > 20	SUP.Q.B01._Z._Z.D5180._T._Z._Z._Z._Z.Z.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	B01	D5180	_Z	_Z	Z	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Number of institutions - Core equity tier 1 ratio (%) > 20
41	Number of institutions - Leverage ratio (%) <= 3	SUP.Q.B01._Z._Z.D7110._T._Z._Z._Z._Z.Z.C	2016Q3	2022Q3	2023-01-11 10:00:00	Q	B01	D7110	_Z	_Z	Z	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Number of institutions - Leverage ratio (%) <= 3
42	Number of institutions - Leverage ratio (%) between 3 - 6	SUP.Q.B01._Z._Z.D7120._T._Z._Z._Z._Z.Z.C	2016Q3	2022Q3	2023-01-11 10:00:00	Q	B01	D7120	_Z	_Z	Z	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Number of institutions - Leverage ratio (%) between 3 - 6
43	Number of institutions - Leverage ratio (%) > 6	SUP.Q.B01._Z._Z.D7130._T._Z._Z._Z._Z.Z.C	2016Q3	2022Q3	2023-01-11 10:00:00	Q	B01	D7130	_Z	_Z	Z	 EU countries participating in the Single Supervisory Mechanism (SSM) (changing composition), Number of institutions - Leverage ratio (%) > 6
44	TOTAL RISK EXPOSURE AMOUNT / TOTAL EXPOSURES	SUP.Q.BE.W0._Z.E0000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	BE	E0000	ALL	LE	E	 Belgium, World (all entities, including reference area, including IO), TOTAL RISK EXPOSURE AMOUNT / TOTAL EXPOSURES, All exposures, Closing balance sheet/Positions/Stocks, Euro
45	TOTAL EXPOSURES FOR CREDIT, COUNTERPARTY CREDIT AND DILUTION RISKS AND FREE DELIVERIES	SUP.Q.BE.W0._Z.E1000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	BE	E1000	ALL	LE	E	 Belgium, World (all entities, including reference area, including IO), TOTAL EXPOSURES FOR CREDIT, COUNTERPARTY CREDIT AND DILUTION RISKS AND FREE DELIVERIES, All exposures, Closing balance sheet/Positions/Stocks, Euro
46	Exposures to credit risk - Risk exposure amount for contributions to the default fund of a CCP	SUP.Q.BE.W0._Z.E1100._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	BE	E1100	ALL	LE	E	 Belgium, World (all entities, including reference area, including IO), Exposures to credit risk - Risk exposure amount for contributions to the default fund of a CCP, All exposures, Closing balance sheet/Positions/Stocks, Euro
47	Securitisation positions	SUP.Q.BE.W0._Z.E1300._T._Z._Z.ALL.LE.E.C	2020Q1	2022Q3	2023-01-11 10:00:00	Q	BE	E1300	ALL	LE	E	 Belgium, World (all entities, including reference area, including IO), Securitisation positions, All exposures, Closing balance sheet/Positions/Stocks, Euro
48	Exposures to credit risk - Standardised approach (SA)	SUP.Q.BE.W0._Z.E2000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	BE	E2000	ALL	LE	E	 Belgium, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA), All exposures, Closing balance sheet/Positions/Stocks, Euro
49	Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Institutions	SUP.Q.BE.W0._Z.E2130._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	BE	E2130	ALL	LE	E	 Belgium, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Institutions, All exposures, Closing balance sheet/Positions/Stocks, Euro
50	Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Corporates	SUP.Q.BE.W0._Z.E2135._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	BE	E2135	ALL	LE	E	 Belgium, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Corporates, All exposures, Closing balance sheet/Positions/Stocks, Euro
51	Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Retail	SUP.Q.BE.W0._Z.E2140._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	BE	E2140	ALL	LE	E	 Belgium, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Retail, All exposures, Closing balance sheet/Positions/Stocks, Euro
52	Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Secured by mortgages on immovable property	SUP.Q.BE.W0._Z.E2145._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	BE	E2145	ALL	LE	E	 Belgium, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Secured by mortgages on immovable property, All exposures, Closing balance sheet/Positions/Stocks, Euro
53	Exposures to credit risk - Internal ratings based Approach (IRB)	SUP.Q.BE.W0._Z.E3000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	BE	E3000	ALL	LE	E	 Belgium, World (all entities, including reference area, including IO), Exposures to credit risk - Internal ratings based Approach (IRB), All exposures, Closing balance sheet/Positions/Stocks, Euro
54	Exposures to credit risk - IRB approach - corporates (SME, specialised lending and other)	SUP.Q.BE.W0._Z.E324C._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	BE	E324C	ALL	LE	E	 Belgium, World (all entities, including reference area, including IO), Exposures to credit risk - IRB approach - corporates (SME, specialised lending and other), All exposures, Closing balance sheet/Positions/Stocks, Euro
55	Exposures to credit risk - IRB approach - retail (secured by real estate property SME and non-SME)	SUP.Q.BE.W0._Z.E324E._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	BE	E324E	ALL	LE	E	 Belgium, World (all entities, including reference area, including IO), Exposures to credit risk - IRB approach - retail (secured by real estate property SME and non-SME), All exposures, Closing balance sheet/Positions/Stocks, Euro
56	Exposures to credit risk - IRB approach - institutions	SUP.Q.BE.W0._Z.E324I._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	BE	E324I	ALL	LE	E	 Belgium, World (all entities, including reference area, including IO), Exposures to credit risk - IRB approach - institutions, All exposures, Closing balance sheet/Positions/Stocks, Euro
57	Exposures to credit risk - IRB approach - retail (qualifying revolving, other SME and other non-SME)	SUP.Q.BE.W0._Z.E324Q._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	BE	E324Q	ALL	LE	E	 Belgium, World (all entities, including reference area, including IO), Exposures to credit risk - IRB approach - retail (qualifying revolving, other SME and other non-SME), All exposures, Closing balance sheet/Positions/Stocks, Euro
58	TOTAL RISK EXPOSURE AMOUNT FOR SETTLEMENT/DELIVERY	SUP.Q.BE.W0._Z.E4000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	BE	E4000	ALL	LE	E	 Belgium, World (all entities, including reference area, including IO), TOTAL RISK EXPOSURE AMOUNT FOR SETTLEMENT/DELIVERY, All exposures, Closing balance sheet/Positions/Stocks, Euro
59	TOTAL RISK EXPOSURE AMOUNT FOR POSITION, FOREIGN EXCHANGE AND COMMODITIES RISKS	SUP.Q.BE.W0._Z.E5000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	BE	E5000	ALL	LE	E	 Belgium, World (all entities, including reference area, including IO), TOTAL RISK EXPOSURE AMOUNT FOR POSITION, FOREIGN EXCHANGE AND COMMODITIES RISKS, All exposures, Closing balance sheet/Positions/Stocks, Euro
60	Number of institutions - Core equity tier 1 ratio (%) <= 10	SUP.Q.BE._Z._Z.D5130._T._Z._Z._Z._Z.Z.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	BE	D5130	_Z	_Z	Z	 Belgium, Number of institutions - Core equity tier 1 ratio (%) <= 10
61	Number of institutions - Core equity tier 1 ratio (%) between 10 - 20	SUP.Q.BE._Z._Z.D5170._T._Z._Z._Z._Z.Z.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	BE	D5170	_Z	_Z	Z	 Belgium, Number of institutions - Core equity tier 1 ratio (%) between 10 - 20
62	Number of institutions - Core equity tier 1 ratio (%) > 20	SUP.Q.BE._Z._Z.D5180._T._Z._Z._Z._Z.Z.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	BE	D5180	_Z	_Z	Z	 Belgium, Number of institutions - Core equity tier 1 ratio (%) > 20
63	Number of institutions - Leverage ratio (%) <= 3	SUP.Q.BE._Z._Z.D7110._T._Z._Z._Z._Z.Z.C	2016Q3	2022Q3	2023-01-11 10:00:00	Q	BE	D7110	_Z	_Z	Z	 Belgium, Number of institutions - Leverage ratio (%) <= 3
64	Number of institutions - Leverage ratio (%) between 3 - 6	SUP.Q.BE._Z._Z.D7120._T._Z._Z._Z._Z.Z.C	2016Q3	2022Q3	2023-01-11 10:00:00	Q	BE	D7120	_Z	_Z	Z	 Belgium, Number of institutions - Leverage ratio (%) between 3 - 6
65	Number of institutions - Leverage ratio (%) > 6	SUP.Q.BE._Z._Z.D7130._T._Z._Z._Z._Z.Z.C	2016Q3	2022Q3	2023-01-11 10:00:00	Q	BE	D7130	_Z	_Z	Z	 Belgium, Number of institutions - Leverage ratio (%) > 6
66	TOTAL RISK EXPOSURE AMOUNT / TOTAL EXPOSURES	SUP.Q.BG.W0._Z.E0000._T._Z._Z.ALL.LE.E.C	2020Q4	2022Q3	2023-01-11 10:00:00	Q	BG	E0000	ALL	LE	E	 Bulgaria, World (all entities, including reference area, including IO), TOTAL RISK EXPOSURE AMOUNT / TOTAL EXPOSURES, All exposures, Closing balance sheet/Positions/Stocks, Euro
67	TOTAL EXPOSURES FOR CREDIT, COUNTERPARTY CREDIT AND DILUTION RISKS AND FREE DELIVERIES	SUP.Q.BG.W0._Z.E1000._T._Z._Z.ALL.LE.E.C	2020Q4	2022Q3	2023-01-11 10:00:00	Q	BG	E1000	ALL	LE	E	 Bulgaria, World (all entities, including reference area, including IO), TOTAL EXPOSURES FOR CREDIT, COUNTERPARTY CREDIT AND DILUTION RISKS AND FREE DELIVERIES, All exposures, Closing balance sheet/Positions/Stocks, Euro
